provider,arm,probe_type,event,probe_id,rep,delay_s,prefix_tokens_target,t_iso,cache_creation,cache_read,input_tokens,latency_ms,est_cost_usd,note
anthropic,anthropic-1h,ttl,write,anthropic-1h-d120-r2,2,120,4832,2026-07-06T16:56:27+00:00,4833,0,7,770.8,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d120-r2,2,120,4832,2026-07-06T16:56:28+00:00,0,0,4844,575.2,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d240-r2,2,240,4832,2026-07-06T16:56:31+00:00,4833,0,7,1294.8,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d240-r2,2,240,4832,2026-07-06T16:56:32+00:00,0,0,4843,554.2,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d240-r2,2,240,4832,2026-07-06T16:56:35+00:00,4834,0,7,888.3,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d240-r2,2,240,4832,2026-07-06T16:56:36+00:00,0,0,4845,584.2,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d285-r2,2,285,4832,2026-07-06T16:56:38+00:00,4833,0,7,679.9,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d285-r2,2,285,4832,2026-07-06T16:56:42+00:00,0,0,4843,1827.7,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d285-r2,2,285,4832,2026-07-06T16:56:43+00:00,4834,0,7,1020.9,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d285-r2,2,285,4832,2026-07-06T16:56:45+00:00,0,0,4842,790.3,0.002905,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,read,anthropic-5m-d30-r2,2,30,4832,2026-07-06T16:56:45+00:00,0,4833,7,1237.3,0.000490,d_act=30.6
openai,openai-24h,ttl,read,openai-24h-d30-r2,2,30,4832,2026-07-06T16:56:46+00:00,0,4736,4845,562.0,0.001486,d_act=29.8
anthropic,anthropic-5m,ttl,write,anthropic-5m-d315-r2,2,315,4832,2026-07-06T16:56:46+00:00,4833,0,7,659.6,0.006048,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d120-r1,1,120,4832,2026-07-06T16:56:47+00:00,0,4833,7,747.8,0.000490,d_act=119.9
openai,openai-24h,ttl,read,openai-24h-d120-r1,1,120,4832,2026-07-06T16:56:48+00:00,0,4736,4842,567.7,0.001484,d_act=119.8
openai,openai-24h,ttl,write,openai-24h-d315-r2,2,315,4832,2026-07-06T16:56:49+00:00,0,0,4843,792.1,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,read,anthropic-1h-d30-r2,2,30,4832,2026-07-06T16:56:49+00:00,0,4832,7,815.1,0.000490,d_act=30.2
openai,openai-inmem,ttl,read,openai-inmem-d30-r2,2,30,4832,2026-07-06T16:56:50+00:00,0,4736,4843,500.1,0.001485,d_act=29.9
anthropic,anthropic-1h,ttl,write,anthropic-1h-d315-r2,2,315,4832,2026-07-06T16:56:51+00:00,4832,0,7,793.3,0.009671,model=claude-haiku-4-5-20251001
anthropic,anthropic-1h,ttl,read,anthropic-1h-d120-r1,1,120,4832,2026-07-06T16:56:51+00:00,0,4833,7,1400.2,0.000490,d_act=120.0
openai,openai-inmem,ttl,read,openai-inmem-d120-r1,1,120,4832,2026-07-06T16:56:53+00:00,0,4736,4846,740.4,0.001487,d_act=120.1
openai,openai-inmem,ttl,write,openai-inmem-d315-r2,2,315,4832,2026-07-06T16:56:53+00:00,0,0,4844,883.8,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d360-r2,2,360,4832,2026-07-06T16:56:54+00:00,4832,0,7,586.6,0.006047,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d360-r2,2,360,4832,2026-07-06T16:56:57+00:00,0,0,4843,713.9,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d360-r2,2,360,4832,2026-07-06T16:57:00+00:00,4832,0,7,2231.6,0.009671,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d360-r2,2,360,4832,2026-07-06T16:57:00+00:00,0,0,4842,438.1,0.002905,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d480-r2,2,480,4832,2026-07-06T16:57:03+00:00,4833,0,7,712.5,0.006048,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d480-r2,2,480,4832,2026-07-06T16:57:04+00:00,0,0,4844,506.0,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d480-r2,2,480,4832,2026-07-06T16:57:06+00:00,4833,0,7,647.6,0.009673,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d480-r2,2,480,4832,2026-07-06T16:57:08+00:00,0,0,4843,539.3,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d720-r2,2,720,4832,2026-07-06T16:57:10+00:00,4835,0,7,607.6,0.006051,model=claude-haiku-4-5-20251001
openai,openai-24h,ttl,write,openai-24h-d720-r2,2,720,4832,2026-07-06T16:57:12+00:00,0,0,4844,611.3,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,write,anthropic-1h-d720-r2,2,720,4832,2026-07-06T16:57:15+00:00,4834,0,7,794.1,0.009675,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d720-r2,2,720,4832,2026-07-06T16:57:18+00:00,0,0,4844,1697.2,0.002906,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d1200-r2,2,1200,4832,2026-07-06T16:57:19+00:00,4835,0,7,911.2,0.006051,model=claude-haiku-4-5-20251001
anthropic,anthropic-5m,ttl,read,anthropic-5m-d240-r0,0,240,4832,2026-07-06T16:57:19+00:00,0,4835,7,1409.2,0.000491,d_act=240.4
openai,openai-24h,ttl,read,openai-24h-d240-r0,0,240,4832,2026-07-06T16:57:20+00:00,0,4736,4845,483.3,0.001486,d_act=239.0
openai,openai-24h,ttl,write,openai-24h-d1200-r2,2,1200,4832,2026-07-06T16:57:20+00:00,0,0,4843,487.2,0.002906,model=gpt-4o-mini
anthropic,anthropic-1h,ttl,read,anthropic-1h-d240-r0,0,240,4832,2026-07-06T16:57:22+00:00,0,4832,7,673.3,0.000490,d_act=239.9
anthropic,anthropic-1h,ttl,write,anthropic-1h-d1200-r2,2,1200,4832,2026-07-06T16:57:23+00:00,4835,0,7,1453.1,0.009677,model=claude-haiku-4-5-20251001
openai,openai-inmem,ttl,write,openai-inmem-d1200-r2,2,1200,4832,2026-07-06T16:57:24+00:00,0,0,4845,685.6,0.002907,model=gpt-4o-mini
anthropic,anthropic-5m,ttl,write,anthropic-5m-d2400-r2,2,2400,4832,2026-07-06T16:57:26+00:00,4833,0,7,620.1,0.006048,model=claude-haiku-4-5-20251001
